state_fips,owner_purchase_originations,minority_originations,lowincome_originations,owner_loan_amount_median,income_median,minority_share,year
53,109068,13001,26350,335000.0,92250.0,0.1192008655150915,2019
53,116159,14513,30746,365000.0,94500.0,0.12494081388441705,2020
53,125615,16543,27600,425000.0,101000.0,0.13169605540739562,2021
53,93788,12483,16672,462500.0,121000.0,0.13309805092335905,2022
53,69347,9986,10980,455000.0,130000.0,0.14400046144750314,2023
54,14967,615,4757,110000.0,58500.0,0.04109039887753057,2018
54,16083,729,5454,115000.0,60000.0,0.045327364297705654,2019
54,17098,756,6163,125000.0,59000.0,0.044215697742426015,2020
54,19507,988,6901,135000.0,59000.0,0.05064848515917363,2021
54,16726,908,5434,145000.0,67000.0,0.05428673920841803,2022
54,14155,878,4508,150000.0,71000.0,0.06202755210173084,2023
55,68197,4637,24999,155000.0,67000.0,0.0679941932929601,2018
55,69689,4832,26363,160000.0,67500.0,0.06933662414441304,2019
55,75704,5781,30130,175000.0,68000.0,0.07636320405790975,2020
55,78155,7080,30531,195000.0,70500.0,0.09058921374192311,2021
55,64091,6187,24866,215000.0,80000.0,0.09653461484451795,2022
55,49706,4772,17716,225000.0,89000.0,0.09600450649820948,2023
56,7152,385,3045,195000.0,69000.0,0.05383109619686801,2018
56,7438,417,2903,205000.0,73000.0,0.05606345791879538,2019
56,8243,477,3354,225000.0,70000.0,0.057867281329613,2020
56,8735,467,3554,245000.0,70500.0,0.05346307956496852,2021
56,6764,406,2653,265000.0,83500.0,0.060023654642223534,2022
56,5191,372,1775,275000.0,92000.0,0.07166249277595839,2023
