county_fips,owner_purchase_originations,minority_originations,lowincome_originations,owner_loan_amount_median,income_median,minority_share,year
08001,8673,2301,3191,310000.0,77000.0,0.2653061224489796,2018
08003,81,23,24,180000.0,64750.0,0.2839506172839506,2018
08005,10594,2010,3645,335000.0,85750.0,0.18973003586936,2018
08007,202,11,63,237500.0,67750.0,0.0544554455445544,2018
08011,19,4,9,95000.0,59000.0,0.2105263157894736,2018
08013,3871,259,662,447500.0,139500.0,0.0669077757685352,2018
08014,1149,87,182,365000.0,110000.0,0.0757180156657963,2018
08015,190,11,28,295000.0,89000.0,0.0578947368421052,2018
08019,185,3,53,265000.0,73000.0,0.0162162162162162,2018
08021,21,5,12,147500.0,49500.0,0.238095238095238,2018
08023,15,2,5,110000.0,59250.0,0.1333333333333333,2018
08025,20,1,14,95000.0,43000.0,0.05,2018
08027,73,3,23,205000.0,69000.0,0.0410958904109589,2018
08029,435,21,216,195000.0,54000.0,0.0482758620689655,2018
08031,10432,1604,2918,355000.0,101000.0,0.1537576687116564,2018
08033,21,0,10,215000.0,60000.0,0.0,2018
08035,7970,588,1123,405000.0,118000.0,0.0737766624843161,2018
08037,719,73,145,455000.0,129000.0,0.1015299026425591,2018
08039,531,30,115,415000.0,111000.0,0.0564971751412429,2018
08041,14846,1961,4967,265000.0,70000.0,0.1320894517041627,2018
08043,577,26,246,185000.0,54000.0,0.0450606585788561,2018
08045,1024,192,277,325000.0,86000.0,0.1875,2018
08047,98,2,25,335000.0,98000.0,0.0204081632653061,2018
08049,229,12,53,295000.0,87000.0,0.0524017467248908,2018
08051,192,5,43,270000.0,81000.0,0.0260416666666666,2018
08053,10,1,4,235000.0,66500.0,0.1,2018
08055,74,9,35,135000.0,49750.0,0.1216216216216216,2018
08059,9113,649,2318,355000.0,100000.0,0.0712169428289257,2018
08063,48,3,25,135000.0,57000.0,0.0625,2018
08065,112,10,30,280000.0,78750.0,0.0892857142857142,2018
08067,760,32,169,342500.0,95500.0,0.0421052631578947,2018
08069,5635,291,1549,315000.0,91000.0,0.0516415261756876,2018
08071,96,20,45,155000.0,53000.0,0.2083333333333333,2018
08073,53,3,25,155000.0,55500.0,0.0566037735849056,2018
08075,221,18,89,140000.0,58750.0,0.0814479638009049,2018
08077,3176,208,1195,205000.0,63000.0,0.0654911838790932,2018
08081,200,13,74,190000.0,63250.0,0.065,2018
08083,275,22,110,195000.0,62000.0,0.08,2018
08085,597,47,209,210000.0,66750.0,0.0787269681742043,2018
08087,415,96,123,210000.0,63250.0,0.2313253012048192,2018
08089,127,27,80,110000.0,47500.0,0.2125984251968504,2018
08091,53,1,11,305000.0,116000.0,0.0188679245283018,2018
08093,408,15,150,305000.0,77000.0,0.0367647058823529,2018
08095,39,3,17,147500.0,59000.0,0.0769230769230769,2018
08097,177,4,58,285000.0,96500.0,0.0225988700564971,2018
08099,69,15,44,85000.0,41000.0,0.217391304347826,2018
08101,2385,627,1062,155000.0,52000.0,0.2628930817610063,2018
08103,71,3,29,180000.0,68750.0,0.0422535211267605,2018
08105,64,10,31,125000.0,80500.0,0.15625,2018
08107,358,6,107,325000.0,96250.0,0.0167597765363128,2018
08109,42,6,19,142500.0,52250.0,0.1428571428571428,2018
08113,84,5,25,405000.0,92500.0,0.0595238095238095,2018
08115,20,4,11,85000.0,42500.0,0.2,2018
08117,533,26,130,375000.0,103000.0,0.048780487804878,2018
08119,544,16,181,265000.0,80250.0,0.0294117647058823,2018
08121,45,3,28,117500.0,48750.0,0.0666666666666666,2018
08123,6989,1162,2198,295000.0,76000.0,0.1662612677063957,2018
08125,75,15,34,140000.0,54500.0,0.2,2018
09001,9624,2151,2278,317500.0,111250.0,0.223503740648379,2018
09003,9358,2048,3893,185000.0,71000.0,0.2188501816627484,2018
09005,1977,187,864,205000.0,79000.0,0.0945877592311583,2018
09007,1915,134,686,225000.0,89250.0,0.0699738903394255,2018
09009,7965,1747,3409,195000.0,72500.0,0.2193345888261142,2018
09011,2901,296,1290,200000.0,74750.0,0.1020337814546708,2018
09013,1576,120,585,212500.0,86000.0,0.0761421319796954,2018
09015,1406,95,742,180000.0,67000.0,0.0675675675675675,2018
10001,2494,673,972,195000.0,60500.0,0.2698476343223737,2018
10003,6516,2001,2829,215000.0,68000.0,0.3070902394106814,2018
10005,3273,275,925,220000.0,76000.0,0.0840207760464405,2018
11001,7366,1610,1049,455000.0,132000.0,0.2185718164539777,2018
12001,3056,578,1014,165000.0,71500.0,0.1891361256544502,2018
12003,334,47,91,175000.0,68000.0,0.1407185628742515,2018
12005,2649,260,665,185000.0,69750.0,0.0981502453756134,2018
12007,231,18,86,130000.0,55500.0,0.0779220779220779,2018
12009,9839,1400,2629,200000.0,70000.0,0.1422908832198394,2018
12011,22079,11014,6801,262500.0,78250.0,0.4988450563884234,2018
12013,66,3,19,125000.0,62500.0,0.0454545454545454,2018
12015,3011,276,868,175000.0,64500.0,0.0916638990368648,2018
12017,2339,148,658,125000.0,59000.0,0.0632749038050448,2018
12019,3484,650,1070,175000.0,63000.0,0.1865671641791045,2018
12021,4731,1167,1080,295000.0,102000.0,0.2466708941027267,2018
12023,662,87,221,137500.0,59250.0,0.1314199395770392,2018
12027,229,40,64,135000.0,53000.0,0.1746724890829694,2018
12029,79,9,31,100000.0,44000.0,0.1139240506329113,2018
12031,13573,3510,4721,170000.0,57000.0,0.2586016356000884,2018
12033,4186,566,1393,145000.0,56750.0,0.135212613473483,2018
12035,2133,277,504,190000.0,65000.0,0.1298640412564463,2018
12037,79,1,18,150000.0,70750.0,0.0126582278481012,2018
12039,249,95,110,145000.0,55000.0,0.3815261044176707,2018
12041,196,14,98,145000.0,56500.0,0.0714285714285714,2018
12043,76,12,25,145000.0,55000.0,0.1578947368421052,2018
12045,142,5,19,225000.0,86000.0,0.0352112676056338,2018
12047,83,9,30,80000.0,49000.0,0.108433734939759,2018
12049,108,23,23,147500.0,60750.0,0.2129629629629629,2018
12051,328,155,80,135000.0,54000.0,0.4725609756097561,2018
12053,3514,648,1521,155000.0,54500.0,0.1844052361980648,2018
12055,1159,285,395,125000.0,53000.0,0.2459016393442623,2018
12057,22224,7162,5039,215000.0,72250.0,0.322264218862491,2018
12059,81,6,32,100000.0,48000.0,0.074074074074074,2018
12061,2393,274,707,185000.0,66500.0,0.114500626828249,2018
12063,232,22,73,105000.0,53000.0,0.0948275862068965,2018
12065,115,12,39,185000.0,71500.0,0.1043478260869565,2018
12067,23,4,7,95000.0,53250.0,0.1739130434782608,2018
12069,6625,1367,1718,180000.0,64000.0,0.2063396226415094,2018
12071,11983,3051,3278,202500.0,70500.0,0.2546106984895268,2018
12073,2941,597,887,147500.0,63750.0,0.2029921795307718,2018
12075,395,38,131,125000.0,52000.0,0.0962025316455696,2018
12077,21,1,4,132500.0,67250.0,0.0476190476190476,2018
12079,70,14,16,115000.0,67500.0,0.2,2018
12081,6747,919,1618,212500.0,71250.0,0.1362086853416333,2018
12083,5248,962,1510,135000.0,56500.0,0.1833079268292683,2018
12085,2074,160,300,245000.0,89250.0,0.0771456123432979,2018
12086,19674,14980,5395,275000.0,79250.0,0.761410999288401,2018
12087,697,109,106,415000.0,111750.0,0.1563845050215208,2018
12089,1815,125,392,235000.0,86250.0,0.0688705234159779,2018
12091,3978,481,966,222500.0,70000.0,0.1209150326797385,2018
12093,311,50,78,135000.0,58000.0,0.1607717041800643,2018
12095,17736,6609,3730,215000.0,67000.0,0.3726319350473613,2018
12097,6259,3549,1853,215000.0,61000.0,0.567023486179901,2018
12099,18110,5596,5104,245000.0,83000.0,0.3090005521811154,2018
12101,10218,2093,2986,155000.0,57000.0,0.2048346055979643,2018
12103,12837,1390,3292,205000.0,72500.0,0.1082807509542728,2018
12105,11139,3927,2394,165000.0,57000.0,0.3525451117694587,2018
12107,542,43,185,115000.0,52500.0,0.0793357933579335,2018
12109,6694,659,998,280000.0,105000.0,0.0984463698834777,2018
12111,5375,1751,1321,185000.0,58000.0,0.3257674418604651,2018
12113,4034,349,990,185000.0,70000.0,0.0865146256817055,2018
12115,6481,640,2011,225000.0,72750.0,0.0987501928714704,2018
12117,6831,1569,1323,232500.0,74500.0,0.2296881862099253,2018
12119,2145,74,455,175000.0,72500.0,0.0344988344988345,2018
12121,325,38,111,115000.0,52000.0,0.1169230769230769,2018
12123,113,10,33,117500.0,47750.0,0.0884955752212389,2018
12125,104,9,21,145000.0,58000.0,0.0865384615384615,2018
12127,8346,1568,2035,175000.0,59000.0,0.187874430865085,2018
12129,521,64,157,160000.0,65500.0,0.1228406909788867,2018
12131,1416,67,224,195000.0,64000.0,0.0473163841807909,2018
12133,180,13,42,135000.0,58500.0,0.0722222222222222,2018
13001,97,17,31,95000.0,52000.0,0.1752577319587628,2018
13003,14,4,4,65000.0,42000.0,0.2857142857142857,2018
13005,38,5,11,85000.0,48000.0,0.131578947368421,2018
13009,258,49,47,135000.0,57500.0,0.189922480620155,2018
13011,172,13,36,172500.0,62500.0,0.0755813953488372,2018
13013,1829,397,971,175000.0,57250.0,0.217058501913614,2018
13015,1639,211,737,175000.0,63500.0,0.1287370347773032,2018
13017,61,12,18,95000.0,46000.0,0.1967213114754098,2018
13019,135,13,30,97500.0,53000.0,0.0962962962962963,2018
13021,1068,309,241,120000.0,53750.0,0.2893258426966292,2018
13023,72,3,16,125000.0,68000.0,0.0416666666666666,2018
13025,101,5,32,95000.0,56500.0,0.0495049504950495,2018
13027,86,16,21,115000.0,57000.0,0.1860465116279069,2018
13029,1083,161,166,205000.0,76250.0,0.1486611265004616,2018
13031,686,103,105,155000.0,65000.0,0.1501457725947521,2018
13033,151,28,49,115000.0,56500.0,0.1854304635761589,2018
13035,294,39,102,145000.0,60000.0,0.1326530612244898,2018
13037,17,9,6,82500.0,44250.0,0.5294117647058824,2018
13039,960,138,302,175000.0,63000.0,0.14375,2018
13043,49,6,8,115000.0,60000.0,0.1224489795918367,2018
13045,1563,220,765,145000.0,59500.0,0.1407549584133077,2018
13047,905,43,311,155000.0,63000.0,0.0475138121546961,2018
13049,63,8,19,115000.0,62000.0,0.1269841269841269,2018
13051,3791,845,964,185000.0,69750.0,0.2228963334212609,2018
13053,17,0,3,170000.0,83750.0,0.0,2018
13055,157,16,55,110000.0,52000.0,0.1019108280254777,2018
13057,5372,599,1305,237500.0,86000.0,0.1115040953090096,2018
13059,1042,159,276,167500.0,64500.0,0.1525911708253358,2018
13061,10,2,3,85000.0,59000.0,0.2,2018
13063,2569,2034,1745,125000.0,42000.0,0.7917477617750097,2018
13065,27,4,11,55000.0,43250.0,0.1481481481481481,2018
13067,11782,3243,2738,235000.0,84000.0,0.2752503819385503,2018
13069,211,41,66,105000.0,51500.0,0.1943127962085308,2018
13071,210,37,45,110000.0,59000.0,0.1761904761904762,2018
13073,3603,794,525,195000.0,70500.0,0.2203719122953094,2018
13075,91,11,26,85000.0,50750.0,0.1208791208791208,2018
13077,2717,350,733,215000.0,83500.0,0.1288185498711814,2018
13079,54,4,12,125000.0,58000.0,0.074074074074074,2018
13081,91,16,23,95000.0,58500.0,0.1758241758241758,2018
13083,132,2,56,137500.0,55000.0,0.0151515151515151,2018
13085,596,41,216,215000.0,67000.0,0.0687919463087248,2018
13087,126,26,33,117500.0,55500.0,0.2063492063492063,2018
13089,9401,3383,2755,235000.0,81250.0,0.3598553345388788,2018
13091,67,12,22,75000.0,55250.0,0.1791044776119403,2018
13093,28,8,11,75000.0,48000.0,0.2857142857142857,2018
13095,378,182,89,85000.0,48500.0,0.4814814814814814,2018
13097,2078,1145,952,175000.0,62250.0,0.5510105871029837,2018
13099,28,9,8,70000.0,50000.0,0.3214285714285714,2018
13101,13,2,4,102500.0,63500.0,0.1538461538461538,2018
13103,1315,194,322,180000.0,69000.0,0.1475285171102661,2018
13105,102,14,37,115000.0,49500.0,0.1372549019607843,2018
13107,81,10,17,102500.0,58500.0,0.1234567901234567,2018
13109,54,11,19,90000.0,48000.0,0.2037037037037037,2018
13111,279,5,38,175000.0,65000.0,0.017921146953405,2018
13113,2016,534,309,275000.0,101250.0,0.2648809523809524,2018
13115,950,105,289,137500.0,59000.0,0.1105263157894736,2018
13117,5370,983,676,315000.0,106500.0,0.1830540037243948,2018
13119,169,7,35,145000.0,58500.0,0.0414201183431952,2018
13121,15072,4824,3113,252500.0,98000.0,0.3200636942675159,2018
13123,385,20,72,180000.0,65000.0,0.0519480519480519,2018
13127,1010,128,135,175000.0,68000.0,0.1267326732673267,2018
13129,613,100,163,135000.0,54500.0,0.1631321370309951,2018
13131,119,19,22,125000.0,60500.0,0.1596638655462184,2018
13133,209,19,19,195000.0,97500.0,0.0909090909090909,2018
13135,13496,5479,4745,205000.0,66500.0,0.4059721398933017,2018
